freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience, hourly_rate (USD) ,rating,is_active,client_satisfaction
FL250264,Jeffery Tucker,Male,42,Germany,German,DevOps,8, $30.00 ,3.6,Yes,96%
FL250265,Jacqueline Drake,Female,37,Canada,English,Data Analysis,6, $20.00 ,2.7,Yes,91%
FL250266,Brian Bautista,Male,21,India,Hindi,Blockchain Development,1, $100.00 ,2.1,Yes,92%
FL250267,Dakota Wells,Male,50,South Korea,Korean,Web Development,19, $40.00 ,4.9,No,82%
FL250268,Julie White,Female,22,Argentina,Spanish,Artificial Intelligence,2, $30.00 ,2.1,No,NA
FL250269,Barbara Keith,Female,39,Japan,Japanese,Web Development,21, $100.00 ,0.0,Yes,91%
FL250270,Heather Camacho,Female,25,Japan,Japanese,Machine Learning,3, $50.00 ,2.8,Yes,86
FL250271,Melanie Harris,Female,47,South Africa,Afrikaans,Mobile Apps,14, NA ,NA,No,69%
FL250272,Jacqueline Peterson,Female,35,South Africa,Afrikaans,UI/UX Design,10, $100.00 ,4.7,Yes,84%
FL250273,Nancy Long,Female,41,United Kingdom,English,Cybersecurity,5, $100.00 ,1.3,No,60%
FL250274,Mr. Juan Mitchell,Male,35,Netherlands,Dutch,Blockchain Development,6, $75.00 ,1.6,Yes,97%
FL250275,William Gaines,Male,59,France,French,Web Development,21, $100.00 ,0.0,No,70%
FL250276,Haley Yates,Female,26,China,Mandarin,UI/UX Design,4, $100.00 ,3.6,Yes,81%
FL250277,Richard Mcguire,Male,44,Russia,Russian,Machine Learning,18, $20.00 ,4.7,Yes,88%
FL250278,Stephanie Fisher,Female,31,South Africa,Afrikaans,UI/UX Design,12, $40.00 ,NA,Yes,100%
FL250279,Anthony Goodwin Dds,Male,60,Turkey,Turkish,Data Analysis,6, NA ,3.2,No,95
FL250280,Meagan Walters,Female,23,United Kingdom,English,Blockchain Development,4, $20.00 ,NA,No,71%
FL250281,David Powell,Male,42,Indonesia,Indonesian,UI/UX Design,13, $20.00 ,4.7,No,85%
FL250282,Kelly Jones,Female,48,India,Hindi,Mobile Apps,6, $30.00 ,NA,No,96%
FL250283,Dr. Michael Aguilar,Male,42,Netherlands,Dutch,Graphic Design,10, $20.00 ,2.4,Yes,92%
FL250284,Alex Novak,Male,52,South Korea,Korean,Cybersecurity,20, $50.00 ,NA,No,79%
FL250285,Ann Contreras,Female,55,Japan,Japanese,Web Development,20, $75.00 ,2.9,No,NA
FL250286,Mary Reed,Female,58,South Africa,Afrikaans,Cybersecurity,11, $50.00 ,0.0,No,NA
FL250287,Lauren Ross,Female,46,South Korea,Korean,Machine Learning,12, $20.00 ,0.0,No,89%
FL250288,Candice Wise,Female,45,Spain,Spanish,Machine Learning,1, $100.00 ,1.5,Yes,100%
FL250289,Joyce Humphrey,Female,56,India,Hindi,Machine Learning,2, $30.00 ,1.9,Yes,81%
FL250290,James Carr,Male,44,United Kingdom,English,Blockchain Development,13, $100.00 ,3.1,Yes,95
FL250291,Joseph Mendoza,Male,46,Indonesia,Indonesian,UI/UX Design,0, NA ,1.8,No,88%
FL250292,Cathy Baldwin,Female,27,Japan,Japanese,Web Development,7, $30.00 ,2.4,Yes,66%
FL250293,Christine Hart,Female,49,India,Hindi,Blockchain Development,13, $100.00 ,4.2,Yes,84%
FL250294,Mike Stanley,Male,53,Mexico,Spanish,Web Development,21, $50.00 ,1.4,No,NA
FL250295,Jeffrey Edwards,Male,56,Australia,English,Web Development,19, $40.00 ,1.2,Yes,82%
FL250296,Amy Lee,Female,56,United Kingdom,English,DevOps,34, NA ,2.1,Yes,84%
FL250297,Mark Thompson,Male,38,South Africa,Afrikaans,Data Analysis,3, $100.00 ,1.4,No,73%
FL250298,Alex Wilson,Male,20,South Korea,Korean,Mobile Apps,0, $30.00 ,3.8,No,93%
FL250299,Nancy Mendez,Female,38,Canada,English,Machine Learning,20, $50.00 ,0.0,No,64%
FL250300,Beth Crane,Female,41,Netherlands,Dutch,Mobile Apps,6, $40.00 ,3.5,No,76%
FL250301,Miguel Rogers,Male,46,India,Hindi,Machine Learning,13, $100.00 ,0.0,Yes,97%
FL250302,Thomas Robles,Male,36,South Africa,Afrikaans,Data Analysis,9, $75.00 ,2.2,No,95%
FL250303,Joel Brown Iii,Male,33,Russia,Russian,Web Development,2, $75.00 ,2.5,No,65%
FL250304,Olivia Schultz,Female,37,Canada,English,Graphic Design,0, $50.00 ,4.7,No,77%
FL250305,Clayton Pena,Male,20,Egypt,Arabic,Data Analysis,0, $20.00 ,3.9,No,NA
FL250306,Ashley Salazar,Female,48,China,Mandarin,Data Analysis,2, $75.00 ,1.6,No,67%
FL250307,Robert Lucas,Male,27,France,French,Cybersecurity,2, $50.00 ,NA,No,84%
FL250308,David Cox,Male,34,South Korea,Korean,Mobile Apps,1, $30.00 ,3.6,Yes,87%
FL250309,Christian Campbell,Male,55,Brazil,Portuguese,Machine Learning,14, $30.00 ,1.2,Yes,91%
FL250310,Mrs. Angela Ward,Female,44,South Africa,Afrikaans,Machine Learning,14, $75.00 ,3.0,No,78%
FL250311,Lucas Chen,Male,31,Netherlands,Dutch,UI/UX Design,2, $50.00 ,3.9,No,NA
FL250312,Ruben Nelson,Male,34,Australia,English,DevOps,1, $40.00 ,1.7,No,74
FL250313,Brenda Briggs,Female,47,Brazil,Portuguese,DevOps,13, $20.00 ,4.5,No,91%
FL250314,Ronald Smith,Male,50,United States,English,Graphic Design,23, $40.00 ,3.6,Yes,71%
FL250315,Dakota Giles,Male,39,Germany,German,Cybersecurity,0, $75.00 ,3.6,Yes,87%
FL250316,Angela Castillo,Female,26,Argentina,Spanish,Blockchain Development,3, $100.00 ,2.8,Yes,61%
FL250317,Allen Lee,Male,41,Netherlands,Dutch,DevOps,0, $100.00 ,5.0,No,NA
FL250318,Michael Rogers,Male,32,Germany,German,Graphic Design,0, $100.00 ,1.4,Yes,81%
FL250319,Danielle Costa,Female,55,Russia,Russian,Data Analysis,17, $30.00 ,NA,No,NA
FL250320,William Nunez,Male,32,Argentina,Spanish,Machine Learning,9, $40.00 ,4.6,Yes,84%
FL250321,Christopher Riggs,Male,30,South Korea,Korean,Blockchain Development,4, $20.00 ,3.3,Yes,NA
FL250322,Kathryn Myers,Female,37,Canada,English,Cybersecurity,0, $40.00 ,3.7,Yes,NA
FL250323,Robert Walls,Male,52,Brazil,Portuguese,Graphic Design,33, NA ,0.0,Yes,60%
FL250324,Justin Johnson,Male,48,India,Hindi,Cybersecurity,18, $50.00 ,0.0,Yes,64%
FL250325,Paula Stevens,Female,28,Japan,Japanese,Mobile Apps,9, $40.00 ,NA,Yes,64%
FL250326,Jennifer Allen,Female,58,Spain,Spanish,Data Analysis,40, $75.00 ,3.4,Yes,100%
FL250327,Mark Hudson,Male,30,Argentina,Spanish,Web Development,1, $40.00 ,1.6,Yes,100
FL250328,Jessica Smith,Female,47,China,Mandarin,Mobile Apps,5, $20.00 ,1.9,No,NA
FL250329,Mike Dean,Male,44,Argentina,Spanish,Artificial Intelligence,4, $50.00 ,0.0,Yes,83%
FL250330,Jose Wilson,Male,56,Italy,Italian,Machine Learning,13, $40.00 ,NA,Yes,87%
FL250331,Tammy Hill,Female,53,United States,English,Mobile Apps,33, $100.00 ,NA,Yes,75%
FL250332,Nathaniel Flores,Male,59,United Kingdom,English,Mobile Apps,22, $40.00 ,1.1,Yes,61%
FL250333,Edwin Carter,Male,60,United States,English,DevOps,34, NA ,2.5,No,93%
FL250334,Patricia Miller,Female,33,Germany,German,Mobile Apps,8, $30.00 ,3.6,Yes,NA
FL250335,Rebecca Schneider,Female,21,Argentina,Spanish,Web Development,1, $20.00 ,NA,No,99%
FL250336,John Greene,Male,54,United Kingdom,English,UI/UX Design,20, $50.00 ,4.4,No,73
FL250337,Brittany Mcdowell,Female,33,United States,English,Graphic Design,11, $75.00 ,2.1,No,96%
FL250338,Lori Miller,Female,57,Turkey,Turkish,Data Analysis,2, $40.00 ,0.0,No,60%
FL250339,Joseph Robinson,Male,36,South Korea,Korean,Graphic Design,6, $20.00 ,1.0,Yes,64%
FL250340,Aaron Pruitt,Male,50,Germany,German,Blockchain Development,20, $30.00 ,0.0,No,NA
FL250341,Victoria Miller,Female,37,Canada,English,DevOps,0, $20.00 ,4.9,No,NA
FL250342,Clarence Vega,Male,53,Italy,Italian,Artificial Intelligence,4, $30.00 ,4.7,Yes,99%
FL250343,Deborah Day,Female,22,Italy,Italian,Blockchain Development,3, $40.00 ,2.1,No,NA
FL250344,Nicole Rocha,Female,55,Netherlands,Dutch,Mobile Apps,33, $40.00 ,1.5,Yes,71%
FL250345,Elijah Green,Male,22,Australia,English,Cybersecurity,1, NA ,2.6,No,72%
FL250346,Emily Johnson,Female,45,Turkey,Turkish,Web Development,23, $50.00 ,0.0,No,66%
FL250347,Richard Velasquez Jr.,Male,36,France,French,Data Analysis,13, $40.00 ,NA,No,78%
FL250348,Kurt Wilson,Male,23,Australia,English,DevOps,1, $20.00 ,4.0,Yes,100
FL250349,Jeremiah Rodriguez,Male,55,Italy,Italian,DevOps,15, $40.00 ,4.5,No,NA
FL250350,Lauren Lang,Female,50,Brazil,Portuguese,Mobile Apps,18, $75.00 ,3.8,No,67
FL250351,Matthew Phillips,Male,48,United States,English,Machine Learning,21, $50.00 ,4.0,No,78%
FL250352,Michael Andersen,Male,23,Netherlands,Dutch,DevOps,1, $40.00 ,4.9,Yes,78%
FL250353,Amanda Mayo,Female,49,Canada,English,Web Development,25, $30.00 ,3.4,No,75%
FL250354,Jessica Vance,Female,47,Italy,Italian,Cybersecurity,12, $50.00 ,2.1,Yes,67%
FL250355,Alexa Gallegos,Female,56,Japan,Japanese,Graphic Design,32, $40.00 ,0.0,Yes,86%
FL250356,Charles Pratt,Male,58,Argentina,Spanish,UI/UX Design,0, $100.00 ,4.5,Yes,77
FL250357,Brian Baker,Male,32,South Korea,Korean,UI/UX Design,10, $30.00 ,3.8,No,61%
FL250358,Christina Norman,Female,52,India,Hindi,UI/UX Design,0, NA ,4.3,No,90%
FL250359,Laura Kelly,Female,22,China,Mandarin,Data Analysis,1, $50.00 ,0.0,No,98%
FL250360,John Webb,Male,20,India,Hindi,Cybersecurity,2, $30.00 ,NA,Yes,99%
FL250361,Christopher Burton,Male,56,Netherlands,Dutch,Data Analysis,9, $40.00 ,2.6,No,61%
FL250362,Bradley Aguilar,Male,41,Japan,Japanese,Data Analysis,22, $50.00 ,1.6,Yes,61%
FL250363,Arthur Vasquez,Male,25,Argentina,Spanish,Blockchain Development,5, $30.00 ,2.3,No,91%
FL250364,Angela Castro,Female,44,Canada,English,Cybersecurity,6, $75.00 ,4.6,Yes,72
FL250365,Summer Yoder,Female,46,Australia,English,Web Development,26, $100.00 ,2.1,No,NA
FL250366,Jackie Allen,Female,40,South Korea,Korean,Blockchain Development,0, $40.00 ,1.5,No,96%
FL250367,Brandon Williams,Male,41,China,Mandarin,Artificial Intelligence,9, $40.00 ,1.7,Yes,72
FL250368,Manuel Torres,Male,31,Japan,Japanese,Data Analysis,11, NA ,3.3,No,NA
FL250369,Scott Keller,Male,33,South Korea,Korean,Machine Learning,0, $40.00 ,4.3,Yes,63%
FL250370,Deborah Brown,Female,31,Brazil,Portuguese,Machine Learning,3, $20.00 ,NA,No,NA
FL250371,Jennifer Lara,Female,49,Italy,Italian,Data Analysis,15, $75.00 ,2.6,No,83%
FL250372,Jason Scott,Male,35,Mexico,Spanish,Graphic Design,12, $20.00 ,4.1,No,94%
FL250373,Gregory Garrison,Male,45,India,Hindi,Data Analysis,19, $40.00 ,2.2,Yes,78%
FL250374,Chelsea Anderson,Female,39,Netherlands,Dutch,Data Analysis,13, $30.00 ,1.1,Yes,NA
FL250375,Gerald Johnson,Male,41,Argentina,Spanish,Blockchain Development,0, $50.00 ,2.1,Yes,82%
FL250376,Kevin Ellis,Male,24,Germany,German,Cybersecurity,3, $30.00 ,2.3,No,66%
FL250377,Mitchell Keller,Male,50,Australia,English,Graphic Design,26, NA ,3.6,Yes,82
FL250378,Mary Brown,Female,23,Germany,German,Machine Learning,4, $20.00 ,4.7,Yes,84%
FL250379,Ronald Walls,Male,27,Canada,English,Cybersecurity,8, $20.00 ,4.8,No,81%
FL250380,Anthony Avila,Male,58,South Africa,Afrikaans,Artificial Intelligence,10, $75.00 ,4.2,No,71
FL250381,Douglas Goodwin,Male,37,Italy,Italian,Machine Learning,5, NA ,4.8,Yes,61%
FL250382,James Mills,Male,39,Spain,Spanish,Blockchain Development,18, $75.00 ,4.0,Yes,66%
FL250383,Nicole Marks,Female,46,Egypt,Arabic,Data Analysis,10, $20.00 ,2.5,Yes,97%
FL250384,Phyllis Dawson,Female,41,United Kingdom,English,UI/UX Design,0, $20.00 ,4.8,No,74%
FL250385,Renee Arnold,Female,39,Mexico,Spanish,Blockchain Development,21, $30.00 ,4.7,No,61%
FL250386,Eric Robinson,Male,59,Egypt,Arabic,Blockchain Development,25, $20.00 ,4.0,No,90%
FL250387,Paul Brown,Male,21,Netherlands,Dutch,DevOps,0, $40.00 ,4.1,Yes,97%
FL250388,Sarah Proctor,Female,23,Canada,English,DevOps,5, $100.00 ,3.2,Yes,NA
FL250389,Matthew Hicks,Male,27,Egypt,Arabic,Web Development,1, $20.00 ,4.3,No,76%
FL250390,Christopher Black,Male,27,China,Mandarin,Cybersecurity,4, $40.00 ,4.4,No,92%
FL250391,Joanne Reyes,Female,48,South Africa,Afrikaans,Data Analysis,21, $40.00 ,2.3,No,NA
FL250392,Isaac Gray,Male,21,South Africa,Afrikaans,Artificial Intelligence,1, $20.00 ,2.4,Yes,66%
FL250393,Joshua Roberts,Male,37,Italy,Italian,DevOps,0, $50.00 ,4.6,No,83%
FL250394,Elizabeth Estrada,Female,31,Germany,German,UI/UX Design,10, $50.00 ,0.0,Yes,NA
FL250395,Lori Malone,Female,41,Egypt,Arabic,Blockchain Development,21, NA ,0.0,Yes,NA
FL250396,Anthony Huynh Md,Male,31,Russia,Russian,Cybersecurity,0, $20.00 ,4.2,Yes,82
FL250397,Mindy York,Female,58,Argentina,Spanish,Data Analysis,0, $50.00 ,2.3,No,77%
FL250398,Ms. Christine Cherry,Female,45,Netherlands,Dutch,Data Analysis,17, $50.00 ,4.7,Yes,73%
FL250399,Daniel Foster,Male,51,South Korea,Korean,Cybersecurity,5, NA ,3.0,Yes,88%
FL250400,Mr. David Valencia,Male,54,United States,English,UI/UX Design,3, $30.00 ,2.4,No,81%
FL250401,Ethan Adams,Male,22,Russia,Russian,Data Analysis,1, $20.00 ,1.7,No,78%
FL250402,Brett Moore,Male,36,Turkey,Turkish,Cybersecurity,2, $75.00 ,0.0,No,92%
FL250403,Phillip Griffin,Male,50,Germany,German,DevOps,32, $30.00 ,NA,No,64%
FL250404,Stacie Wall,Female,41,Australia,English,Blockchain Development,14, $30.00 ,0.0,Yes,78%
FL250405,Jacob Austin,Male,41,South Africa,Afrikaans,Web Development,10, $20.00 ,1.8,Yes,85
FL250406,Sabrina Davidson,Female,51,Netherlands,Dutch,Cybersecurity,27, $50.00 ,0.0,Yes,78%
FL250407,Dustin Douglas,Male,21,France,French,Artificial Intelligence,2, $30.00 ,3.8,Yes,98%
FL250408,Steven Norris,Male,51,Japan,Japanese,Artificial Intelligence,33, $40.00 ,0.0,Yes,63%
FL250409,Mindy Sullivan,Female,37,Indonesia,Indonesian,Graphic Design,11, $40.00 ,3.6,No,73%
FL250410,Elizabeth Stone,Female,20,Spain,Spanish,Graphic Design,2, $30.00 ,0.0,No,94%
FL250411,Diane Flores,Female,50,Australia,English,Web Development,31, $50.00 ,4.1,No,81%
FL250412,Jessica Erickson,Female,58,Turkey,Turkish,Graphic Design,17, $50.00 ,2.6,Yes,61%
FL250413,Sara Moses,Female,40,Brazil,Portuguese,UI/UX Design,2, $100.00 ,0.0,No,NA
FL250414,Allison Henderson,Female,26,Egypt,Arabic,Web Development,2, $20.00 ,1.3,Yes,83%
FL250415,Susan Dixon,Female,44,South Korea,Korean,Cybersecurity,22, $30.00 ,4.1,Yes,NA
FL250416,David Morrison,Male,42,Mexico,Spanish,Machine Learning,8, $50.00 ,2.4,Yes,68%
FL250417,Jason Carter,Male,38,Mexico,Spanish,Data Analysis,9, $50.00 ,0.0,No,74%
FL250418,James Jacobs,Male,51,Egypt,Arabic,Web Development,32, $100.00 ,4.4,No,91
FL250419,Kathleen Quinn,Female,36,France,French,Artificial Intelligence,8, $100.00 ,2.2,Yes,97%
FL250420,Natalie Frank Md,Female,37,Australia,English,Mobile Apps,10, $30.00 ,0.0,No,96%
FL250421,Michael Reed,Male,31,South Africa,Afrikaans,DevOps,0, $50.00 ,1.1,Yes,73%
FL250422,Sheila Smith,Female,47,India,Hindi,Cybersecurity,22, NA ,1.4,Yes,72%
FL250423,Morgan Ford,Female,60,Mexico,Spanish,UI/UX Design,34, $100.00 ,0.0,Yes,74%
FL250424,Linda Schultz,Female,48,Argentina,Spanish,Mobile Apps,5, $30.00 ,1.5,No,NA
FL250425,Regina Daniel,Female,24,India,Hindi,Artificial Intelligence,3, $20.00 ,0.0,Yes,NA
FL250426,Allison Perkins,Female,35,Netherlands,Dutch,Machine Learning,10, $75.00 ,0.0,No,74%
FL250427,Bradley Weaver,Male,35,United States,English,DevOps,0, $100.00 ,3.5,Yes,71%
FL250428,Sarah Hall,Female,29,Netherlands,Dutch,UI/UX Design,6, NA ,4.8,No,83%
FL250429,Diana Walton,Female,36,Italy,Italian,Machine Learning,1, $75.00 ,NA,No,63%
FL250430,Donna Davis,Female,44,Canada,English,Artificial Intelligence,0, NA ,4.8,No,84%
FL250431,Christopher Mcclain,Male,44,South Africa,Afrikaans,Web Development,0, NA ,1.4,No,93%
FL250432,Dr. Paul Williamson,Male,40,India,Hindi,Artificial Intelligence,13, $100.00 ,1.1,Yes,NA
FL250433,Barbara Brown,Female,53,Netherlands,Dutch,Machine Learning,13, $50.00 ,3.3,Yes,93%
FL250434,Kimberly Allen,Female,35,Germany,German,Blockchain Development,0, $30.00 ,4.6,No,97%
FL250435,Elizabeth Edwards,Female,27,Argentina,Spanish,Machine Learning,7, $75.00 ,2.8,Yes,92%
FL250436,Anthony Downs,Male,34,Australia,English,DevOps,6, $50.00 ,5.0,Yes,92%
FL250437,Jack Ortega,Male,24,India,Hindi,Cybersecurity,2, $75.00 ,4.7,Yes,68%
FL250438,Marvin Moore,Male,57,United States,English,UI/UX Design,13, $100.00 ,3.5,Yes,95%
FL250439,Tony French,Male,28,South Korea,Korean,UI/UX Design,7, $100.00 ,4.3,No,76%
FL250440,Stacy Hudson,Female,26,Italy,Italian,DevOps,7, $100.00 ,3.3,Yes,66%
FL250441,Scott Washington,Male,34,Argentina,Spanish,Mobile Apps,15, $75.00 ,NA,No,73%
FL250442,Timothy Wright,Male,43,Japan,Japanese,Artificial Intelligence,0, $20.00 ,2.8,No,99%
FL250443,Joseph Gonzalez,Male,31,China,Mandarin,Graphic Design,5, NA ,2.7,Yes,94
FL250444,Andrea Perez,Female,34,China,Mandarin,Blockchain Development,0, $50.00 ,0.0,No,84
FL250445,Angel Collins,Female,32,Russia,Russian,Cybersecurity,10, $20.00 ,NA,Yes,92%
FL250446,Daniel Terry,Male,24,Egypt,Arabic,DevOps,6, $75.00 ,4.3,Yes,NA
FL250447,Steven Whitaker,Male,35,United Kingdom,English,Artificial Intelligence,8, $50.00 ,NA,Yes,90
FL250448,Denise Neal,Female,22,Australia,English,Mobile Apps,4, $20.00 ,NA,No,73%
FL250449,Amanda Jacobs,Female,55,Egypt,Arabic,Artificial Intelligence,3, $100.00 ,NA,Yes,73%
FL250450,Karen Mercer,Female,54,Argentina,Spanish,Machine Learning,0, $30.00 ,2.9,Yes,78%
FL250451,Lindsay Hudson,Female,36,Netherlands,Dutch,Cybersecurity,11, $30.00 ,0.0,Yes,63%
FL250452,Stephanie Armstrong,Female,36,Netherlands,Dutch,Artificial Intelligence,17, $50.00 ,1.3,No,64%
FL250453,Dr. Jessica Campbell,Female,25,Argentina,Spanish,Web Development,1, $75.00 ,0.0,Yes,NA
FL250454,Curtis Maxwell,Male,46,Indonesia,Indonesian,Artificial Intelligence,16, $20.00 ,4.8,Yes,86%
FL250455,Adam Kelly Phd,Male,41,Argentina,Spanish,Machine Learning,11, $40.00 ,2.4,No,NA
FL250456,Julie Becker,Female,21,Russia,Russian,Mobile Apps,3, $100.00 ,4.7,No,96%
FL250457,James Moore,Male,29,United States,English,Graphic Design,0, $75.00 ,2.0,No,NA
FL250458,Danielle Barrera,Female,44,United States,English,Mobile Apps,3, $50.00 ,2.2,No,77%
FL250459,David Sanchez,Male,40,Canada,English,Machine Learning,1, $100.00 ,2.1,Yes,NA
FL250460,Tiffany Bowman,Female,27,Egypt,Arabic,Data Analysis,1, $30.00 ,1.7,No,65%
FL250461,Jesus Quinn,Male,53,France,French,Mobile Apps,35, NA ,5.0,Yes,62%
FL250462,Mr. Danny Morris Dds,Male,20,Turkey,Turkish,Data Analysis,1, $50.00 ,2.9,Yes,81%
FL250463,Nicole York,Female,41,Japan,Japanese,DevOps,12, $50.00 ,4.1,Yes,62%
FL250464,John Mathis,Male,26,Mexico,Spanish,Web Development,8, $40.00 ,4.9,No,87%
FL250465,Julie Barnett,Female,49,Brazil,Portuguese,Machine Learning,13, $100.00 ,2.5,No,NA
FL250466,Jasmine Harris,Female,20,Egypt,Arabic,Data Analysis,0, $30.00 ,0.0,Yes,76
FL250467,Mary Henry,Female,39,China,Mandarin,Blockchain Development,11, $100.00 ,2.8,No,70
FL250468,Judith Riggs,Female,41,China,Mandarin,Machine Learning,19, $100.00 ,3.8,Yes,71%
FL250469,Justin Ruiz,Male,59,Canada,English,Mobile Apps,30, $30.00 ,4.3,Yes,83%
FL250470,Jennifer Sullivan,Female,45,Australia,English,Blockchain Development,8, $40.00 ,0.0,No,78
FL250471,Jesse Moran,Male,22,Indonesia,Indonesian,Cybersecurity,0, $40.00 ,1.3,Yes,78%
FL250472,Monica Smith,Female,48,India,Hindi,Mobile Apps,7, $50.00 ,4.7,Yes,60%
FL250473,Ian May,Male,36,France,French,Blockchain Development,11, $40.00 ,1.3,Yes,NA
FL250474,Kayla Meyers,Female,57,China,Mandarin,Blockchain Development,0, $75.00 ,4.8,Yes,NA
FL250475,John Bray,Male,42,United States,English,UI/UX Design,14, $30.00 ,1.3,No,94%
FL250476,James Smith,Male,31,Indonesia,Indonesian,Cybersecurity,11, $50.00 ,4.3,No,62
FL250477,Mark Duncan,Male,52,Spain,Spanish,Cybersecurity,31, $30.00 ,NA,Yes,NA
FL250478,Matthew Gay,Male,56,Netherlands,Dutch,DevOps,16, $30.00 ,0.0,Yes,NA
FL250479,Cheryl Freeman,Female,24,Netherlands,Dutch,DevOps,6, $30.00 ,0.0,Yes,84%
FL250480,Patrick Welch,Male,48,Canada,English,DevOps,21, $75.00 ,2.7,Yes,NA
FL250481,Craig Levine,Male,59,France,French,Cybersecurity,13, $40.00 ,2.4,Yes,65
FL250482,Richard Harvey,Male,41,United Kingdom,English,Web Development,0, $40.00 ,1.9,Yes,94%
FL250483,Bonnie Sherman,Female,41,Netherlands,Dutch,Mobile Apps,11, $20.00 ,3.6,Yes,69%
FL250484,Keith Trujillo,Male,25,Netherlands,Dutch,Mobile Apps,0, $50.00 ,2.9,Yes,65%
FL250485,Corey Combs,Male,31,Egypt,Arabic,Mobile Apps,2, $75.00 ,2.8,No,60%
FL250486,Antonio King,Male,40,Turkey,Turkish,DevOps,12, $75.00 ,2.6,No,NA
FL250487,Amy Lee,Female,48,Russia,Russian,Blockchain Development,13, $100.00 ,2.7,No,62%
FL250488,Jennifer Rogers,Female,24,South Africa,Afrikaans,Mobile Apps,6, $30.00 ,1.1,Yes,NA
FL250489,Jeffrey Cooper,Male,33,Indonesia,Indonesian,Web Development,10, $30.00 ,0.0,Yes,89%
FL250490,Allison Williams,Female,43,Brazil,Portuguese,UI/UX Design,2, $40.00 ,0.0,Yes,89%
FL250491,Raymond Sherman,Male,43,Spain,Spanish,Blockchain Development,4, $50.00 ,0.0,Yes,100%
FL250492,Jennifer Nelson,Female,33,Australia,English,Web Development,11, NA ,4.6,Yes,NA
FL250493,Jennifer Carter,Female,49,Russia,Russian,UI/UX Design,14, $40.00 ,1.5,No,60%
FL250494,Todd Williams,Male,55,Canada,English,UI/UX Design,10, $40.00 ,2.0,Yes,85%
FL250495,Emily Horton,Female,33,South Korea,Korean,Graphic Design,3, $40.00 ,1.6,No,83%
FL250496,Lance Lester,Male,32,Argentina,Spanish,Artificial Intelligence,3, $30.00 ,1.5,No,96%
FL250497,Kevin Flores,Male,58,Netherlands,Dutch,Blockchain Development,33, NA ,4.1,Yes,83%
FL250498,Aaron Stewart Phd,Male,49,Indonesia,Indonesian,Data Analysis,24, $100.00 ,4.7,No,60%
FL250499,Robin Moore,Female,22,Russia,Russian,UI/UX Design,3, $100.00 ,3.6,Yes,78%
FL250500,Suzanne Ingram,Female,40,Egypt,Arabic,Web Development,11, $20.00 ,1.8,Yes,90%
FL250501,Jacob Mclaughlin,Male,55,Australia,English,Data Analysis,7, $100.00 ,2.1,No,66%
FL250502,Michael Nunez,Male,32,Mexico,Spanish,DevOps,1, $50.00 ,NA,Yes,70%
FL250503,Isabel Brown,Female,21,Japan,Japanese,UI/UX Design,0, $30.00 ,4.2,Yes,79%
FL250504,Michael Stein,Male,23,South Korea,Korean,Blockchain Development,1, $40.00 ,0.0,No,64%
FL250505,Robert Stone,Male,21,United Kingdom,English,Mobile Apps,1, $30.00 ,1.0,No,81%
FL250506,Dillon Henry,Male,31,Argentina,Spanish,Artificial Intelligence,7, $75.00 ,4.4,No,83%
FL250507,James Todd,Male,21,Mexico,Spanish,Blockchain Development,0, $40.00 ,4.0,No,91%
FL250508,Clifford Moore Md,Male,33,United Kingdom,English,Cybersecurity,6, $50.00 ,3.1,No,NA
FL250509,John Rios,Male,57,Brazil,Portuguese,Web Development,5, $75.00 ,1.1,Yes,77%
FL250510,Anthony Gaines,Male,52,United States,English,DevOps,17, $75.00 ,0.0,No,94%
FL250511,Kristi Brown Dvm,Female,21,Germany,German,Web Development,0, $20.00 ,3.8,Yes,61%
FL250512,Ashley Odonnell,Female,36,Argentina,Spanish,UI/UX Design,8, $100.00 ,1.7,No,68%
FL250513,Ronald Elliott,Male,33,Spain,Spanish,Machine Learning,13, $50.00 ,2.2,No,70%
FL250514,Lorraine Lowery,Female,54,United Kingdom,English,Data Analysis,15, $40.00 ,4.1,Yes,71
FL250515,Victoria Chapman,Female,33,United States,English,Blockchain Development,2, $100.00 ,3.8,No,NA
FL250516,Heather Davis,Female,36,Japan,Japanese,Machine Learning,9, $30.00 ,0.0,Yes,78%
FL250517,Diana Chase,Female,36,Turkey,Turkish,Artificial Intelligence,3, $50.00 ,0.0,Yes,75
FL250518,Danielle Adkins,Female,43,China,Mandarin,Artificial Intelligence,15, $20.00 ,4.2,Yes,91%
FL250519,Kenneth Arias,Male,52,United Kingdom,English,Data Analysis,21, $75.00 ,2.2,Yes,66%
FL250520,Victoria Owen,Female,28,Indonesia,Indonesian,Cybersecurity,2, $75.00 ,1.5,Yes,68%
FL250521,Christina King,Female,47,China,Mandarin,Cybersecurity,21, $100.00 ,0.0,No,NA
FL250522,Samantha King,Female,30,France,French,DevOps,0, $100.00 ,4.1,No,62%
FL250523,Scott Compton,Male,36,Egypt,Arabic,Blockchain Development,4, $40.00 ,2.6,Yes,90%
FL250524,Monica West,Female,45,United States,English,UI/UX Design,23, $100.00 ,2.4,No,96%
FL250525,Theresa Stewart,Female,51,United States,English,Blockchain Development,25, $50.00 ,1.4,Yes,60%
FL250526,Steven Kim,Male,46,Turkey,Turkish,Mobile Apps,10, NA ,4.6,Yes,62%
